image_i,image_j,keypoints_i,keypoints_j,raw_matches,filtered_matches,ransac_inliers,inlier_ratio,mean_epipolar_error_all,median_epipolar_error_all,mean_epipolar_error_inliers,median_epipolar_error_inliers,max_epipolar_error_inliers,fundamental_matrix
PXL_20260519_151332564.jpg,PXL_20260519_151408946.jpg,2343,1284,2343,27,10,0.37037037037037035,96.49263015381668,31.171235917031762,0.050531754226301004,2.5436000742230576e-13,0.37447098218509733,"[[-1.1537105763205102e-06, 2.3297445159536515e-08, 0.00045234591331326675], [4.20505019014341e-06, -1.2879770996296106e-06, -0.003243527412080616], [-0.0008495816040654571, 0.000520235407693659, 0.9999999999999999]]"
PXL_20260519_151332564.jpg,PXL_20260519_151409501.jpg,2343,1283,2343,38,9,0.23684210526315788,164.26944821093284,65.57216207955116,0.06463240531748998,3.869596547342719e-13,0.5141168471483876,"[[3.680568862087784e-06, -3.4839803768386397e-06, -0.0019406270220881485], [-2.84389462601069e-06, 1.7701538112093553e-06, 0.0022549222612060684], [-0.0021853792718837858, 0.002254461646326399, 1.0]]"
PXL_20260519_151332564.jpg,PXL_20260519_151410173.jpg,2343,1593,2343,26,10,0.38461538461538464,97.62596599418745,34.49450787546602,0.023571735895145753,1.0267598693279954e-12,0.14374708675564163,"[[-8.354570386364469e-07, -1.6738441274672325e-06, 0.0009670964139505393], [-1.5678646732848818e-05, 4.48456941519691e-05, -0.004548244380431955], [0.007084659654000688, -0.01671903721689247, 1.0]]"
PXL_20260519_151332564.jpg,PXL_20260519_151410717.jpg,2343,1842,2343,37,10,0.2702702702702703,90.5240109315801,46.43501117859179,0.06556613390512067,2.8863031544487227e-13,0.5629516418601952,"[[2.2661886694727637e-06, -1.484873876219496e-05, 0.009855882821250552], [8.16903267363692e-05, -8.987366729183565e-05, -0.027264457328770933], [-0.025195287620999075, 0.0363453542875438, 1.0]]"
PXL_20260519_151332564.jpg,PXL_20260519_151412299.MP.jpg,2343,1673,2343,41,10,0.24390243902439024,126.8620660953676,104.88443769401519,0.050502210724879426,6.510065537859212e-15,0.4554951712980305,"[[4.552500264900706e-06, -9.24711450255415e-06, -0.0009202696917245753], [-1.6025649348189117e-05, 3.213753842990833e-05, -0.002622712819674114], [-0.000379169769481252, 0.0008353889328260826, 1.0]]"
PXL_20260519_151332564.jpg,PXL_20260519_151413911.jpg,2343,1898,2343,36,11,0.3055555555555556,88.86644872164979,41.96446702180138,0.14939119641703993,1.532871413639702e-13,0.8203064624952054,"[[1.025064597538861e-06, -8.707607251857349e-07, -0.0009479766551690644], [2.7576261371182847e-06, -1.533569168342261e-06, -0.002810686942647542], [-0.0011748099839579093, 0.001266516642019197, 1.0]]"
PXL_20260519_151332564.jpg,PXL_20260519_151432557.jpg,2343,2286,2343,19,9,0.47368421052631576,110.38425012801211,89.95999851879625,0.011013429986439515,6.812517492570736e-12,0.09912086983753073,"[[7.221949798603919e-07, 2.847841864052817e-07, -0.0010748455212543438], [-7.859510720490905e-08, 3.7315982896512056e-07, -0.00013481846985291323], [-0.0005477061828216298, -0.0005126762929024627, 1.0]]"
PXL_20260519_151332564.jpg,PXL_20260519_151433122.jpg,2343,2161,2343,22,9,0.4090909090909091,124.54961173331502,73.78086746775888,0.18061389972084663,4.4848661900449825e-13,0.9225630974719813,"[[7.819970525205416e-06, -1.388286893636781e-05, -0.0002811128800433141], [-8.064010541519366e-06, 1.765738240416726e-05, -0.001843610568582863], [-0.001642191812672255, 0.0014417521854867674, 1.0]]"
PXL_20260519_151332564.jpg,PXL_20260519_151433706.jpg,2343,1985,2343,25,10,0.4,148.4149462396055,7.925070897095737,0.08639219651957762,2.15844853934239e-13,0.4873869830403613,"[[2.7651869822410586e-06, -4.4561373954994534e-07, -0.0023452613210358715], [4.869367077119093e-07, 8.433036418586602e-07, -0.0002364139679065734], [-0.0012101153594510866, 5.7481889521945286e-05, 1.0]]"
PXL_20260519_151332564.jpg,PXL_20260519_151434389.jpg,2343,1454,2343,25,10,0.4,135.21774705016256,6.205045236768295,0.049520025513623146,1.9548221029888057e-13,0.40951621018146434,"[[1.3066414371987157e-07, 1.2420391065602669e-08, -0.0007364359703804206], [-1.0206346639949902e-06, 5.444203368680388e-06, -0.00144933551939709], [0.0003012021835271616, -0.002046984040861212, 1.0]]"
